ReferenceID,StartTime,EndTime,,,
2024-NCO-129,0:09:25,0:29:25,,,
2024-NCD-108,0:05:00,0:25:00,,,
2024-NCD-093,0:05:00,0:25:00,,,
2024-NCD-504,0:10:00,0:30:00,,,
2024-NCO-047,0:10:00,0:30:00,,,
2024-NCD-063,0:10:00,0:30:00,,,
2024-NCO-137,0:10:00,0:30:00,,,
2024-NCD-019,0:10:00,0:30:00,,,
2024-NCO-094,0:10:00,0:30:00,,,
2024-NCD-087,0:10:00,0:30:00,,,
2024-NCO-084,0:10:00,0:30:00,,,
2024-NCO-090,0:10:00,0:30:00,,,
2024-NCO-029,0:10:00,0:30:00,,,
2024-NCN-029,0:10:00,0:30:00,,,
2024-NCN-041,0:10:00,0:30:00,,,
2024-NCN-032,0:10:00,0:30:00,,,
2024-NCO-052,0:10:00,0:30:00,,,
2024-NCO-049,0:10:00,0:30:00,,,
2024-NCO-048,0:10:00,0:30:00,,,
2024-NCD-066,0:09:28,0:29:28,,,
2024-NCN-016,0:08:56,0:28:56,,,
2024-NCO-057,0:10:00,0:30:00,,,
2024-NCO-070,0:10:00,0:30:00,,,
2024-NCO-075,0:10:00,0:30:00,,,
2024-NCD-004,0:10:00,0:30:00,,,
2024-NCO-073,0:10:00,0:30:00,,,
2024-NCN-076,0:10:00,0:30:00,,,
2024-NCN-109,0:10:00,0:30:00,,,
2024-NCO-004,0:10:00,0:30:00,,,
2024-NCN-085,0:10:00,0:30:00,,,
2024-NCO-124,0:10:00,0:30:00,,,
2024-NCN-091,0:12:20,0:29:45,,,
2024-NCO-118,0:10:00,0:30:00,,,
2024-NCO-037,0:10:00,0:30:00,,,
2024-NCO-142,0:10:00,0:30:00,,,
2024-NCD-092,0:10:00,0:30:00,,,
2024-NCO-088,0:10:00,0:30:00,,,
2024-NCO-140,0:10:00,0:30:00,,,
2024-NCD-155,0:10:00,0:30:00,,,
2024-NCO-145,0:10:00,0:30:00,,,
2024-NCN-110,0:10:00,0:30:00,,,
2024-NCN-038,0:10:00,0:30:00,,,
2024-NCN-502,0:10:00,0:30:00,,,
2024-NCD-106,0:05:00,0:25:00,,,
2024-NCD-125,0:05:00,0:25:00,,,
2024-NCD-100,0:10:00,0:30:00,,,
2024-NCD-026,0:10:00,0:30:00,,,
2024-NCD-030,0:10:00,0:30:00,,,
2024-NCN-009,0:09:43,0:29:43,,,
2024-NCD-012,0:10:00,0:30:00,,,
2024-NCD-061,0:10:00,0:30:00,,,
2024-NCD-080,0:10:00,0:30:00,,,
2024-NCN-116,0:10:00,0:30:00,,,
2024-NCN-039,0:10:00,0:30:00,,,
2024-NCN-089,0:10:00,0:30:00,,,
2024-NCN-101,0:10:00,0:30:00,,,
2024-NCN-504,0:07:50,0:27:50,,,
2024-NCO-012,0:10:00,0:30:00,,,
2024-NCN-105,0:10:00,0:30:00,,,
2024-NCO-146,0:10:00,0:30:00,,,
2024-NCO-150,0:10:00,0:30:00,,,
2024-NCN-075,0:10:00,0:30:00,,,
2024-NCD-089,0:10:00,0:30:00,,,
2024-NCO-078,0:10:00,0:30:00,,,
2024-NCO-072,0:10:00,0:30:00,,,
2024-NCO-122,0:10:00,0:30:00,,,
2024-NCO-133,0:10:00,0:30:00,,,
2024-NCD-088,0:10:00,0:30:00,,,
2024-NCD-001,0:10:00,0:30:00,,,
2024-NCN-113,0:10:00,0:30:00,,,
2024-NCN-062,0:10:00,0:30:00,,,
2024-NCN-052,0:10:00,0:30:00,,,
2024-NCN-022,0:10:00,0:30:00,,,
2024-NCN-126,0:10:00,0:30:00,,,
2024-NCO-030,0:10:00,0:30:00,,,
2024-NCO-504,0:10:00,0:30:00,,,
2024-NCO-044,0:10:00,0:30:00,,,
2024-NCO-502,0:10:00,0:30:00,,,
2024-NCN-048,0:10:00,0:30:00,,,
2024-NCN-060,0:10:00,0:30:00,,,
2024-NCN-057,0:10:00,0:30:00,,,
2024-NCN-047,0:10:00,0:30:00,,,
2024-NCN-077,0:10:00,0:30:00,,,
2024-NCO-107,0:10:00,0:30:00,,,
2024-NCO-509,0:02:00,0:08:19,,,
2024-NCN-055,0:10:00,0:30:00,,,
2024-NCN-070,0:10:00,0:30:00,,,
2024-NCN-082,0:09:40,0:29:40,,,
2024-NCN-074,0:10:00,0:30:00,,,
2024-NCN-067,0:10:00,0:30:00,,,
2024-NCN-043,0:10:00,0:30:00,,,
2024-NCN-061,0:10:00,0:30:00,,,
2024-NCD-502,0:10:00,0:30:00,,,
2024-NCO-505,0:10:00,0:30:00,,,
2024-NCO-060,0:10:00,0:30:00,,,
2024-NCO-067,0:10:00,0:30:00,,,
2024-NCO-108,0:10:00,0:30:00,,,
2024-NCN-097,0:10:00,0:30:00,,,
2024-NCN-503,0:10:00,0:30:00,,,
2024-NCD-505,0:10:00,0:30:00,,,
2024-NCN-025,0:10:00,0:30:00,,,
2024-NCN-031,0:10:00,0:30:00,,,
2024-NCN-023,0:10:00,0:30:00,,,
2024-NCN-021,0:10:00,0:30:00,,,
2024-NCN-079,0:10:00,0:30:00,,,
2024-NCO-515,0:10:00,0:30:00,,,
2024-NCO-152,0:10:00,0:30:00,,,
2024-NCD-086,0:10:00,0:30:00,,,
2024-NCO-507,0:10:00,0:30:00,,,
2024-NCN-084,0:10:00,0:30:00,,,
2024-NCO-508,0:10:00,0:30:00,,,
2024-NCD-011,0:10:00,0:30:00,,,
2024-NCN-121,0:10:00,0:30:00,,,
2024-NCN-002,0:10:00,0:30:00,,,
2024-NCN-072,0:10:00,0:30:00,,,
2024-NCN-069,0:10:00,0:30:00,,,
2024-NCO-035,0:08:26,0:28:26,,,
