# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Tue Apr  7 17:34:55 2026   by: write_object_track_set_viame_csv
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223137.115060_ir.tif,130,42.9713,351.876,48.5515,358.522,1,0,animal,1
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223147.763899_ir.tif,140,120.404,321.865,127.651,327.694,1,0,animal,1
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223646.824115_ir.tif,398,463.499,345.039,469.404,350.028,1,0,animal,1
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223922.353818_ir.tif,534,545.243,393.878,553.664,401.045,1,0,false_positive,1
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224216.291918_ir.tif,687,168.095,179.119,174.784,186.142,1,0,false_positive,1
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224458.921984_ir.tif,829,53.498,214.331,61.313,225.226,1,0,false_positive,1
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224637.587981_ir.tif,916,415.324,102.874,423.468,113.168,1,0,false_positive,1
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224704.780545_ir.tif,940,361.312,104.175,368.563,113.072,1,0,false_positive,1
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224916.114506_ir.tif,1057,167.972,353.739,174.983,362.106,1,0,false_positive,1
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224919.431888_ir.tif,1060,177.665,469.939,184.188,478.561,1,0,off_frame,1
11,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224921.645401_ir.tif,1062,463.825,73.067,472.975,82.769,1,0,false_positive,1
12,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224949.385488_ir.tif,1087,349.906,132.542,360.563,141.59,1,0,false_positive,1
13,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224954.924700_ir.tif,1092,328.737,0,338.046,4.848,1,0,false_positive,1
14,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225201.625272_ir.tif,1145,483.148,87.5049,489.748,93.0763,1,0,animal,1
15,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225406.707597_ir.tif,1259,1.128,180.92,17.685,191.158,1,0,false_positive,1
16,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225506.708623_ir.tif,1314,322.667,93.309,331.038,102.585,1,0,false_positive,1
17,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225647.518800_ir.tif,1407,457.282,178.212,463.133,185.327,1,0,animal,1
18,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225647.518800_ir.tif,1407,439.157,174.018,445.677,179.859,1,0,animal,1
19,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225725.065175_ir.tif,1442,407.331,280.738,421.44,290.891,1,0,false_positive,1
