# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Tue Apr  7 17:35:16 2026   by: write_object_track_set_viame_csv
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223137.115060_rgb.jpg,130,756.712,7587.84,865.089,7715.84,1,0,animal,1
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223147.763899_rgb.jpg,140,2220.33,6993.24,2360.17,7106.24,1,0,animal,1
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223646.824115_rgb.jpg,398,8756.93,7328.68,8870.93,7425.3,1,0,animal,1
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_223922.353818_rgb.jpg,534,10328.6,8230.9,10491.2,8369.68,1,0,false_positive,1
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224216.291918_rgb.jpg,687,3080.87,4266.14,3210.47,4401.66,1,0,false_positive,1
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224458.921984_rgb.jpg,829,911.733,4970.13,1064.04,5179.57,1,0,false_positive,1
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224637.587981_rgb.jpg,916,7760.43,2740.88,7918.79,2939,1,0,false_positive,1
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224704.780545_rgb.jpg,940,6733.03,2782.46,6873.94,2953.76,1,0,false_positive,1
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224916.114506_rgb.jpg,1057,3136.04,7584.41,3272.21,7745.57,1,0,false_positive,1
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224919.431888_rgb.jpg,1060,3358.76,9789.75,3485.73,9955.6,1,0,off_frame,1
11,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224921.645401_rgb.jpg,1062,8673.57,2159.25,8850.88,2346.43,1,0,false_positive,1
12,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224949.385488_rgb.jpg,1087,6525.32,3323.98,6731.1,3499.2,1,0,false_positive,1
13,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_224954.924700_rgb.jpg,1092,6078.83,812.18,6257.58,907.166,1,0,false_positive,1
14,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225201.625272_rgb.jpg,1145,9046.02,2428.47,9173.47,2536.37,1,0,animal,1
15,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225406.707597_rgb.jpg,1259,-95.849,4348.61,222.595,4548.25,1,0,false_positive,1
16,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225506.708623_rgb.jpg,1314,5994.05,2587.5,6156.4,2766.34,1,0,false_positive,1
17,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225647.518800_rgb.jpg,1407,8565.03,4164.36,8649.03,4280.36,1,0,animal,1
18,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225647.518800_rgb.jpg,1407,8237.39,4086.02,8363.39,4199.03,1,0,animal,1
19,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225725.065175_rgb.jpg,1442,7666.9,6121.48,7938.73,6318.75,1,0,false_positive,1
20,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225746.545744_rgb.jpg,1462,9131.14,930.89,9303.33,1140.89,1,0,animal,1
21,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225747.614950_rgb.jpg,1463,9430.89,10038.5,9655.19,10302.1,1,0,off_frame,1
22,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225805.825259_rgb.jpg,1480,8891.39,8987.81,9051.37,9219.46,1,0,false_positive,1
23,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_225910.829298_rgb.jpg,1539,2557.09,1954.56,2670.83,2085.16,1,0,animal,1
24,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230056.164747_rgb.jpg,1633,5215.29,5911.26,5328.34,6038.35,1,0,animal,1
25,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230059.540608_rgb.jpg,1636,9237.76,860.724,9369.13,989.12,1,0,animal,1
26,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230100.662072_rgb.jpg,1637,9708.99,9977.42,9899.24,10164.6,1,0,off_frame,1
27,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230111.846740_rgb.jpg,1647,10675.3,1895.39,10794.9,2054.27,1,0,animal,1
28,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230112.962948_rgb.jpg,1648,5918.95,5353.38,6025.58,5490.85,1,0,animal,1
29,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230144.111079_rgb.jpg,1676,10037.2,7020.98,10177.8,7170.85,1,0,animal,1
30,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230211.884232_rgb.jpg,1701,7093.03,5525.01,7225.51,5655.24,1,0,animal,1
31,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230218.572036_rgb.jpg,1707,10188.8,8700.94,10398.7,8939.95,1,0,animal,1
32,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230308.725285_rgb.jpg,1752,10193.7,3657.42,10313.3,3735.56,1,0,animal,1
33,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230308.725285_rgb.jpg,1752,10082.7,3593.29,10241.1,3688.82,1,0,animal,1
34,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230405.746752_rgb.jpg,1803,2308.74,8015.76,2454.15,8133.49,1,0,animal,1
35,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230405.746752_rgb.jpg,1803,2463.91,7882.13,2585.54,7990.38,1,0,animal,1
36,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230416.950560_rgb.jpg,1813,5555.34,6203.09,5668.44,6363.38,1,0,animal,1
37,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230509.658405_rgb.jpg,1860,1879.41,7805.47,2061.37,7987.74,1,0,false_positive,1
38,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230701.441154_rgb.jpg,1957,8187.46,5309.12,8349.96,5511.75,1,0,false_positive,1
39,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230704.816355_rgb.jpg,1960,9413.89,6307.88,9554.46,6410.92,1,0,animal,1
40,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230713.818053_rgb.jpg,1968,3000.75,8589.75,3137.2,8706.08,1,0,animal,1
41,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230738.427222_rgb.jpg,1990,1386.79,3168.96,1477.15,3262.19,1,0,animal,1
42,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230807.492943_rgb.jpg,2016,8884.54,977.636,9024.17,1079.76,1,0,animal,1
43,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230807.492943_rgb.jpg,2016,8905.41,1075.65,9037.24,1217.22,1,0,animal,1
44,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_230808.610789_rgb.jpg,2017,8715.42,10165.4,8885.66,10401,1,0,off_frame,1
45,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231019.559158_rgb.jpg,2133,4168.62,2379.74,4318.14,2536.43,1,0,false_positive,1
46,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231126.626775_rgb.jpg,2192,10700.2,6728.35,10796.9,6876.93,1,0,animal,1
47,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231126.626775_rgb.jpg,2192,10182.5,6535.61,10265.8,6611.3,1,0,false_positive,1
48,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231158.490930_rgb.jpg,2220,8874.26,4216.17,9041.73,4466.5,1,0,false_positive,1
49,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231213.296320_rgb.jpg,2233,8255.54,7569.26,8423.42,7793.48,1,0,false_positive,1
50,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231214.431986_rgb.jpg,2234,1808.79,6503.76,2014.67,6699.04,1,0,false_positive,1
51,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231236.053040_rgb.jpg,2253,3680.03,7367.08,3920.39,7557.75,1,0,animal,1
52,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231322.826452_rgb.jpg,2294,5831.21,5613.08,6032.43,5790.8,1,0,false_positive,1
53,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231323.970577_rgb.jpg,2295,11436.7,5509.69,11560,5648.33,1,0,animal,1
54,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/center_view/ice_seals_2025_fl223_C_20250513_231334.256542_rgb.jpg,2304,6581.33,4340.53,6719.11,4548.48,1,0,false_positive,1
