# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Thu Apr 16 10:38:04 2026   by: write_object_track_set_viame_csv
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223422.982902_rgb.jpg,274,10837.1,4289.77,10929.9,4385.71,1,0,animal,1
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223445.117096_rgb.jpg,293,2181.51,6099.99,2334.39,6278.65,1,0,animal,1
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223750.225383_rgb.jpg,453,8679.04,4291.92,8771.89,4378.09,1,0,animal,1
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_rgb.jpg,454,6444.9,1238.89,6512.62,1342.85,1,0,animal,1
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_rgb.jpg,454,5697.65,2481.47,5775.23,2549.18,1,0,animal,1
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_rgb.jpg,454,5753.4,2566.64,5843.05,2639.23,1,0,animal,1
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223752.513555_rgb.jpg,455,6527,9174.49,6596.81,9271.57,1,0,animal,1
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223752.513555_rgb.jpg,455,5731.83,10228.7,5920.54,10341.4,1,0,off_frame,1
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224010.258889_rgb.jpg,576,7403.98,6170.53,7474.48,6255.78,1,0,animal,1
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224311.286751_rgb.jpg,735,8061.41,2889.21,8235.86,3069.75,1,0,animal,1,(note) birds
