# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 19:57:33 2026,,,,,,,,
1,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223137.115060_ir.tif,130,41.400,350.017,49.930,359.378,0.71061,0,hotspot,0.71061
2,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223147.763899_ir.tif,140,119.133,320.451,128.092,328.463,0.64933,0,hotspot,0.64933
3,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223646.824115_ir.tif,398,461.397,342.735,471.834,351.601,0.70879,0,hotspot,0.70879
4,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_223922.353818_ir.tif,534,545.243,393.878,553.664,401.045,0.14253,0,hotspot,0.14253
5,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224216.291918_ir.tif,687,168.095,179.119,174.784,186.142,0.17891,0,hotspot,0.17891
6,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224458.921984_ir.tif,829,53.498,214.331,61.313,225.226,0.25536,0,hotspot,0.25536
7,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224637.587981_ir.tif,916,415.324,102.874,423.468,113.168,0.51994,0,hotspot,0.51994
8,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224704.780545_ir.tif,940,361.312,104.175,368.563,113.072,0.25802,0,hotspot,0.25802
9,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224916.114506_ir.tif,1057,167.972,353.739,174.983,362.106,0.13390,0,hotspot,0.13390
10,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\center_view\ice_seals_2025_fl223_C_20250513_224919.431888_ir.tif,1060,177.665,469.939,184.188,478.561,0.11637,0,hotspot,0.11637
