# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:12:00 2026,,,,,,,,
1,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_223200.629457_ir.tif,152,112.427,236.409,121.827,246.151,0.69376,0,hotspot,0.69376
2,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224042.082423_ir.tif,604,81.512,397.118,90.526,408.022,0.16218,0,hotspot,0.16218
3,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224146.695516_ir.tif,661,448.900,242.548,460.516,251.117,0.63941,0,hotspot,0.63941
4,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224146.695516_ir.tif,661,448.058,241.928,461.591,252.436,0.13407,0,hotspot,0.13407
5,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224234.621467_ir.tif,703,271.592,0.060,281.369,8.904,0.33407,0,hotspot,0.33407
6,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224235.767635_ir.tif,704,280.918,420.653,291.455,432.600,0.28785,0,hotspot,0.28785
7,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224604.755563_ir.tif,887,541.703,74.035,551.575,83.806,0.54437,0,hotspot,0.54437
8,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224605.892651_ir.tif,888,505.099,366.388,514.861,376.167,0.60686,0,hotspot,0.60686
9,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224605.892651_ir.tif,888,547.664,453.557,557.249,463.722,0.35133,0,hotspot,0.35133
10,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\right_view\ice_seals_2025_fl223_R_20250513_224640.969923_ir.tif,919,186.814,49.725,196.024,59.610,0.66555,0,hotspot,0.66555
