# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes,
# Written on: Wed Mar 18 10:53:36 2026   by: write_object_track_set_viame_csv,,,,,,,,,,,
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_223200.629457_rgb.jpg,152,3020.25,5313.33,3160.25,5463.15,1,0,animal,1,
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224042.082423_rgb.jpg,604,2475.16,8361.78,2651.46,8573.59,1,0,false_positive,1,
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224146.695516_rgb.jpg,661,9412.63,5259.49,9636.63,5417.5,1,0,animal,1,
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224146.695516_rgb.jpg,661,9395.87,5231.88,9658.11,5438.3,1,0,extra_detection,1,
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224234.621467_rgb.jpg,703,5932.8,714.302,6122.78,887.267,1,0,false_positive,1,
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224235.767635_rgb.jpg,704,6284.88,8714.22,6490.63,8946.6,1,0,false_positive,1,
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224604.755563_rgb.jpg,887,11141,2029.62,11282.8,2166.62,1,0,animal,1,
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224605.892651_rgb.jpg,888,10562.8,7620.16,10706.2,7749.16,1,0,animal,1,
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224605.892651_rgb.jpg,888,11401.2,9250.91,11554.2,9397.39,1,0,animal_duplicate,1,
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224640.969923_rgb.jpg,919,4356.57,1732.83,4506.69,1876.83,1,0,animal,1,
11,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224642.100353_rgb.jpg,920,4584.02,9869.48,4749.78,10056.5,1,0,off_frame,1,(note) animal likely (same as previous detection)
12,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224725.239752_rgb.jpg,958,12544.9,3176.34,12760.5,3402.34,1,0,animal,1,
13,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224726.371680_rgb.jpg,959,12725.8,10168.1,12929.7,10298,1,0,off_frame,1,(note) animal likely (same as previous detection)
14,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224818.215675_rgb.jpg,1005,8206.14,3067.04,8316.14,3215.37,1,0,animal,1,
15,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224852.810384_rgb.jpg,1036,7737.75,5942.31,7906.32,6207.09,1,0,false_positive,1,
16,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224924.968879_rgb.jpg,1065,8185.36,7282.62,8349.49,7522.62,1,0,false_positive,1,
17,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225032.490092_rgb.jpg,1126,8299.42,8627.02,8476.37,8861.06,1,0,false_positive,1,
18,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_225210.372127_rgb.jpg,1153,2642.23,9061.6,2883.2,9258.06,1,0,false_positive,1,
