VIAME,Old_Truth,Truth
ACANTHURUS_COERULEUS,ACANTHURUS_COERULEUS,ACANTHURUS_COERULEUS
ALBULA_VULPES,ALBULA_VULPES,ALBULA_VULPES
ANISOTREMUS_VIRGINICUS,ANISOTREMUS_VIRGINICUS,ANISOTREMUS_VIRGINICUS
ANOMURA,ANOMURA,
ANTHIINAE,ANTHIINAE,ANTHIADIDAE_SP
ARCHOSARGUS_PROBATOCEPHALUS,ARCHOSARGUS_PROBATOCEPHALUS,ARCHOSARGUS_PROBATOCEPHALUS
BALISTES_CAPRISCUS,BALISTES_CAPRISCUS,BALISTES_CAPRISCUS
BALISTES_VETULA,BALISTES_VETULA,BALISTES_VETULA
BODIANUS_PULCHELLUS,BODIANUS_PULCHELLUS,BODIANUS_PULCHELLUS
BODIANUS_RUFUS,BODIANUS_RUFUS,BODIANUS_RUFUS
CALAMUS,CALAMUS,CALAMUS_SP
CALAMUS_BAJONADO,CALAMUS_BAJONADO,CALAMUS_BAJONADO
CALAMUS_LEUCOSTEUS,CALAMUS_LEUCOSTEUS,CALAMUS_LEUCOSTEUS
CALAMUS_NODOSUS,CALAMUS_NODOSUS,CALAMUS_NODOSUS
CALAMUS_PRORIDENS,CALAMUS_PRORIDENS,CALAMUS_PRORIDENS
CANTHIGASTER_ROSTRATUS,CANTHIGASTER_ROSTRATA,CANTHIGASTER_ROSTRATA
CARANGIDAE,CARANX_SPP,CARANGIDAE_SP
CARANX_BARTHOLOMAEI,CARANX_BARTHOLOMAEI,CARANX_BARTHOLOMAEI
CARANX_CRYSOS,CARANX_CRYSOS,CARANX_CRYSOS
CARCHARHINUS,CARCHARHINUS,CARCHARHINUS_SP
CARCHARHINUS_FALCIFORMIS,CARCHARHINUS_FALCIFORMIS,CARCHARHINUS_FALCIFORMIS
CARCHARHINUS_PLUMBEUS,CARCHARHINUS_PLUMBEUS,CARCHARHINUS_PLUMBEUS
CAULOLATILUS_CHRYSOPS,CAULOLATILUS_CHRYSOPS,CAULOLATILUS_CHRYSOPS
CAULOLATILUS_CYANOPS,CAULOLATILUS_CYANOPS,CAULOLATILUS_CYANOPS
CENTROPRISTIS_OCYURA,CENTROPRISTIS_OCYURUS,CENTROPRISTIS_OCYURUS
CENTROPRISTIS_PHILADELPHICA,CENTROPRISTIS_PHILADELPHICA,CENTROPRISTIS_PHILADELPHICA
CEPHALOPHOLIS_CRUENTATA,CEPHALOPHOLIS_CRUENTATA,CEPHALOPHOLIS_CRUENTATA
CHAETODIPTERUS_FABER,CHAETODIPTERUS_FABER,CHAETODIPTERUS_FABER
CHAETODON,CHAETODON,CHAETODON_SP
CHAETODON_OCELLATUS,CHAETODON_OCELLATUS,CHAETODON_OCELLATUS
CHAETODON_SEDENTARIUS,CHAETODON_SEDENTARIUS,CHAETODON_SEDENTARIUS
CHROMIS,CHROMIS_SP,CHROMIS_SP
CHROMIS_CYANEA,CHROMIS_CYANEA,AZURINA_CYANEA
CHROMIS_ENCHRYSURUS,CHROMIS_ENCHRYSURUS,CHROMIS_ENCHRYSURUS
CHROMIS_INSOLATUS,CHROMIS_INSOLATA,CHROMIS_INSOLATA
DECAPTERUS,DECAPTERUS_SP,DECAPTERUS_SP
DECODON_PUELLARIS,DECODON_PUELLARIS,DECODON_PUELLARIS
DERMATOLEPIS_INERMIS,DERMATOLEPIS_INERMIS,DERMATOLEPIS_INERMIS
