sci.name,common_name,family,genus
ABUDEFDUF_SAXATILIS,sergeant major,Pomacentridae,Abudefduf
ABUDEFDUF_SP,NA,Pomacentridae,Abudefduf
ACANTHEMBLEMARIA_SPINOSA,spinyhead blenny,Chaenopsidae,Acanthemblemaria
ACANTHOCYBIUM_SOLANDRI,wahoo,Scombridae,Acanthocybium
ACANTHONUS_SP,NA,NA,NA
ACANTHOSTRACION_POLYGONIUM,honeycomb cowfish,Ostraciidae,Acanthostracion
ACANTHOSTRACION_QUADRICORNIS,scrawled cowfish,Ostraciidae,Acanthostracion
ACANTHOSTRACION_SP,NA,NA,NA
ACANTHURIDAE_SP,NA,Acanthuridae,NA
ACANTHURUS_CHIRURGUS,doctorfish,Acanthuridae,Acanthurus
ACANTHURUS_COERULEUS,blue tang surgeonfish,Acanthuridae,Acanthurus
ACANTHURUS_SP,NA,Acanthuridae,Acanthurus
ACANTHURUS_TRACTUS,fiveband surgeonfish,Acanthuridae,Acanthurus
ACIPENSER_SP,NA,Acipenseridae,Acipenser
AETOBATUS_NARINARI,spotted eagle ray,Myliobatidae,Aetobatus
ALBULA_SP,NA,Albulidae,Albula
ALBULA_VULPES,bonefish,Albulidae,Albula
ALECTIS_CILIARIS,African pompano,Carangidae,Alectis
ALOSA_SP,NA,NA,NA
ALUTERUS_HEUDELOTII,dotterel filefish,Monacanthidae,Aluterus
ALUTERUS_MONOCEROS,unicorn leatherjacket,Monacanthidae,Aluterus
ALUTERUS_SCHOEPFII,orange filefish,Monacanthidae,Aluterus
ALUTERUS_SCRIPTUS,scrawled filefish,Monacanthidae,Aluterus
ALUTERUS_SP,NA,Monacanthidae,Aluterus
AMBLYCIRRHITUS_PINOS,redspotted hawkfish,Cirrhitidae,Amblycirrhitus
ANCYLOPSETTA_QUADROCELLATA,NA,Paralichthyidae,Ancylopsetta
ANGUILLIFORMES_SP,NA,NA,NA
ANISOTREMUS_SURINAMENSIS,NA,Haemulidae,Anisotremus
ANISOTREMUS_VIRGINICUS,porkfish,Haemulidae,Anisotremus
ANTENNARIIDAE_SP,NA,Antennariidae,NA
ANTHIADIDAE_SP,NA,NA,NA
ANTHIAS_SP,NA,NA,NA
ANTHIAS_WOODSI,swallowtail bass,Anthiadidae,Anthias
ANTIGONIA_CAPROS,deepbody boarfish,Caproidae,Antigonia
APOGONIDAE_SP,NA,Apogonidae,NA
APOGON_MACULATUS,flamefish,Apogonidae,Apogon
APOGON_PSEUDOMACULATUS,twospot cardinalfish,Apogonidae,Apogon
APOGON_SP,NA,Apogonidae,Apogon
ARCHOSARGUS_PROBATOCEPHALUS,NA,Sparidae,Archosargus
ARIIDAE_SP,NA,Ariidae,NA
ARIOPSIS_FELIS,hardheaded sea catfish,Ariidae,Ariopsis
AULOSTOMUS_MACULATUS,trumpetfish,Aulostomidae,Aulostomus
AZURINA_CYANEA,blue chromis,Pomacentridae,Chromis
AZURINA_MULTILINEATA,brown chromis,Pomacentridae,Chromis
BAITFISH_UNK,NA,NA,NA
