Spec_Viame,Spec_Viame_Dash,Species,Species_New,Spec_Group
ABUDEFDUFSAXATILIS.170270101,ABUDEFDUFSAXATILIS-170270101,ABUDEFDUF_SAXATILIS,ABUDEFDUF_SAXATILIS,
ABUDEFDUFTAURUS.170270102,ABUDEFDUFTAURUS-170270102,ABUDEFDUF_TAURUS,ABUDEFDUF_TAURUS,
ACANTHURUSBAHIANUS.170160101,ACANTHURUSBAHIANUS-170160101,ACANTHURUS_BAHIANUS,ACANTHURUS_BAHIANUS,
ACANTHURUSCHIRURGUS.170160103,ACANTHURUSCHIRURGUS-170160103,ACANTHURUS_CHIRURGUS,ACANTHURUS_CHIRURGUS,
ACANTHURUSCOERULEUS.170160102,ACANTHURUSCOERULEUS-170160102,ACANTHURUS_COERULEUS,ACANTHURUS_COERULEUS,
ALBULAVULPES.121030101,ALBULAVULPES-121030101,ALBULA_VULPES,ALBULA_VULPES,
ALECTISCILIARIS.170110101,ALECTISCILIARIS-170110101,ALECTIS_CILIARIS,ALECTIS_CILIARIS,
AMBLYCIRRHITUSPINOS.170590101,AMBLYCIRRHITUSPINOS-170590101,AMBLYCIRRHITUS_PINOS,AMBLYCIRRHITUS_PINOS,
ANISOTREMUSSURINAMENSIS.170190106,ANISOTREMUSSURINAMENSIS-170190106,ANISOTREMUS_SURINAMENSIS,ANISOTREMUS_SURINAMENSIS,HAEMULON
ANISOTREMUSVIRGINICUS.170190105,ANISOTREMUSVIRGINICUS-170190105,ANISOTREMUS_VIRGINICUS,ANISOTREMUS_VIRGINICUS,HAEMULON
ANTENNARIUSOCELLATUS.195020101,ANTENNARIUSOCELLATUS-195020101,ANTENNARIUS_OCELLATUS,ANTENNARIUS_OCELLATUS,
ANTHIASASPERILINGUIS.170026001,ANTHIASASPERILINGUIS-170026001,ANTHIAS_ASPERILINGUIS,ANTHIAS_ASPERILINGUIS,
ANTHIASNICHOLSI.170026002,ANTHIASNICHOLSI-170026002,ANTHIAS_NICHOLSI,ANTHIAS_NICHOLSI,
ANTHIASTENUIS.170026003,ANTHIASTENUIS-170026003,ANTHIAS_TENUIS,ANTHIAS_TENUIS,
ANTHIASWOODSI.170026004,ANTHIASWOODSI-170026004,ANTHIAS_WOODSI,ANTHIAS_WOODSI,
ANTIGONIA.162030100,ANTIGONIA-162030100,ANTIGONIA,ANTIGONIA,
ANTIGONIACAPROS.162030101,ANTIGONIACAPROS-162030101,ANTIGONIA_CAPROS,ANTIGONIA_CAPROS,
APOGONAFFINI.170060204,APOGONAFFINI-170060204,APOGON_AFFINI,APOGON_AFFINI,
APOGONALUTUS.170060212,APOGONALUTUS-170060212,APOGON_ALUTUS,APOGON_ALUTUS,
APOGONAMERICANUS.170060214,APOGONAMERICANUS-170060214,APOGON_AMERICANUS,APOGON_AMERICANUS,
APOGONAUROLINEATUS.170060201,APOGONAUROLINEATUS-170060201,APOGON_AUROLINEATUS,APOGON_AUROLINEATUS,
APOGONBINOTATUS.170060202,APOGONBINOTATUS-170060202,APOGON_BINOTATUS,APOGON_BINOTATUS,
APOGONCONKLINI.170060213,APOGONCONKLINI-170060213,APOGON_CONKLINI,APOGON_CONKLINI,
APOGONLACHNERI.170060209,APOGONLACHNERI-170060209,APOGON_LACHNERI,APOGON_LACHNERI,
APOGONMACULATUS.170060203,APOGONMACULATUS-170060203,APOGON_MACULATUS,APOGON_MACULATUS,
APOGONPHENAX.170060210,APOGONPHENAX-170060210,APOGON_PHENAX,APOGON_PHENAX,
APOGONPIGMENTARIUS.170060205,APOGONPIGMENTARIUS-170060205,APOGON_PIGMENTARIUS,APOGON_PIGMENTARIUS,
APOGONPILLIONATUS.170060215,APOGONPILLIONATUS-170060215,APOGON_PILLIONATUS,APOGON_PILLIONATUS,
APOGONPLANIFRONS.170060206,APOGONPLANIFRONS-170060206,APOGON_PLANIFRONS,APOGON_PLANIFRONS,
APOGONPSEUDOMACULATUS.170060207,APOGONPSEUDOMACULATUS-170060207,APOGON_PSEUDOMACULATUS,APOGON_PSEUDOMACULATUS,
