"REFERENCE","SITE_ID","LAB","SURVEY","SURVEY_PASC","PROJECT_FWC","STATION_ID_FWC","GEAR_FWC","CONFIGURATION_FWC","YEAR","MONTH","DAY","STA_TIME_PASC","END_TIME_PASC","REGION_PASC","NMFS_STATZONE","LAT_DD","LON_DD","DEPTH","TEMP","SALINITY","DO_MgL","PRECIPITATION_FWC","OPCODE_PASC","OPCODE","SPACE_STRAT","HAB_STRAT","REEF_TYPE","REEF_TYPE_PC","SS_EXPECT","GEOFORM_CODE","GEOFORM_AREA","GEOFORM_PERIMETER","GEOFORM_DISTANCE","CAMERA_FWC","CAMERA_NBR","CAMERA_NAME_PC","CAMERA_SEQ_NBR_PC","READMETHOD_PASC","VIDEO_OPCODE_PASC","RELATIVE_VISIBILITY","PCT_HORIZON_VISIBLE","RELATIVE_CURRENT_1","RELATIVE_CURRENT_2","READ_START_TIME","READ_END_TIME","READ_TIME","HABITAT_ONLY","GENHAB","GENHAB2","STRUCTURAL_COMPLEXITY","BIOTIC_COMPLEXITY","HABITAT_COMPLEXITY","SUBSTRATE_MAX_RELIEF","BIOTA_MAX_RELIEF","COMBO_MAX_RELIEF","ARTI_PER","ROCK_PER","SED_PER","SHELLGRAVEL_PER","SILTSANDCLAY_PER","SUBSTRATE_PCT_TOTAL_PASC","ALGAE_PER","SGRASS_PER","HCORAL_PER","SCORAL_PER","SEAWHIPS_PER","SPONGE_PER","UNKSESS_PER","ATTACHED_EPIFAUNA_PER","RELIEF_PA","ARTI_PA","ROCK_PA","SILTSANDCLAY_PA","SHELLGRAVEL_PA","SED_PA","ALGAE_PA","SGRASS_PA","HCORAL_PA","SCORAL_PA","SEAWHIPS_PA","SPONGE_PA","UNKSESS_PA","ATTACHED_EPIFAUNA_PA","BIOTA_PCT_COMP_PASC","BIOTA_PCT_COVER","A","R","B","C","S","H","M","U","SUBSTRATE_TOTAL","AM","GM","CB","CC","CF","CM","HC","CG","SO","SB","SF","SM","SV","SP","MI","UN","NO","TOTAL_EPIFAUNA_PC","SEDAR_Y_N_PC"
"289305002","1758","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-23 07:55:00,1993-05-23 11:05:00,"W",16,27.9633,-92.0173,48.64,20.34636376,,5.581818104,,"OV",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1.2,0,2,,2,83,11,0,0,0,0,0,0,8,8,1,0,1,1,1,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305003","1761","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-23 09:56:00,1993-05-23 11:10:00,"W",16,27.9628,-92.013,64,20.43000031,36.26499939,5.599999905,,"OV",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.7,0,0,,7,88,10,0,0,0,0,1,0,4,5,1,0,0,1,1,,0,0,0,0,1,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305004",,"PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-23 11:54:00,1993-05-23 13:03:00,"W",16,27.9513,-92.0188,74,20.23999977,36.25299835,5.5,,,,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.6,0,8,,1,9,10,0,0,0,0,0,1,4,5,1,0,1,1,1,,0,0,0,0,0,1,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305005","1864","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-23 13:33:00,1993-05-23 14:34:00,"W",16,27.9533,-92.0167,72,20.34000015,36.29000092,5.599999905,,,,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.2,0,0,,1,94,10,0,0,0,5,0,0,0,5,1,0,0,1,1,,0,0,0,1,0,0,0,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305007","1396","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-24 16:31:00,1993-05-24 17:42:00,"W",16,27.959,-92.0523,41,21.76000023,36.33300018,5.5,,"MS",,"WLD","NLL","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.1,0,8,,0,15,10,0,0,0,0,0,0,0,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305008","1446","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-24 17:56:00,1993-05-24 19:00:00,"W",16,27.9593,-92.0457,40,21.62000084,36.25400162,5.599999905,,"OV",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,1.25,0,0,,10,20,10,40,0,0,13,2,5,10,70,1,0,0,1,1,,1,0,0,1,1,1,1,1,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305009","2471","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-24 07:20:00,1993-05-24 08:23:00,"W",16,27.9375,-92.0308,32,22.05999947,36.28699875,4.900000095,,"MS",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.25,0,0,,5,0,10,80,0,0,10,1,0,4,95,1,0,0,0,1,,1,0,0,1,1,0,1,1,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305010","2387","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-24 08:41:00,1993-05-24 09:44:00,"W",16,27.9393,-92.019,62,20.78000069,36.27600098,5.400000095,,"MS",,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.5,0,8,,0,20,10,0,0,0,0,0,0,10,10,1,0,1,1,0,,0,0,0,0,0,0,1,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305011",,"PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-24 10:09:00,1993-05-24 11:12:00,"W",16,27.945,-92.04,86,19.95000076,36.25799942,5,,,,"WLD","NUC","N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.3,0,9,,0,1,10,4,0,0,2,0,2,42,50,1,0,1,1,0,,1,0,0,1,0,1,1,1,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"289305013","1098","PASC","SRFV","SEAMAP_REEF",,,,,1993,5,,1993-05-25 13:13:00,1993-05-25 14:16:00,"W",16,27.9817,-92.3917,64.92,21.95701047,,4.531958669,,"DK",,"WLD",,"N",,,,,,,,,,,"MIN/MAX",,,,,,,,,,,,,,,,,0.3,0,2,,5,75,10,0,0,0,0,1,0,9,10,1,0,1,1,1,,0,0,0,0,1,0,1,1,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
