# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,fps: 5,"exported_by: ""dive:typescript""","exported_time: ""9/18/2025, 8:53:03 AM"""
237,00:01:48.600000,543,448,809,520,949,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:48.800000,544,447,792,523,957,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:49.200000,546,457,775,522,885,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:49.400000,547,461,761,525,884,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:50.200000,551,450,707,520,837,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:50.400000,552,456,697,515,800,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
237,00:01:50.600000,553,455,670,523,800,0.49776,-1,LUTJANUSCAMPECHANUS-170151107,0.49776
280,00:01:49.800000,549,1409,844,1457,898,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:50.200000,551,1436,806,1484,883,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:50.400000,552,1451,801,1506,872,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:50.600000,553,1466,781,1521,859,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:50.800000,554,1483,769,1540,844,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:51.000000,555,1499,760,1556,824,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:51.200000,556,1568,662,1626,777,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:51.400000,557,1604,375,1660,476,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:51.600000,558,1544,226,1597,316,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:52.200000,561,1597,179,1671,305,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:52.800000,564,1577,170,1634,252,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
280,00:01:53.600000,568,1561,0,1618,78,0.435063,-1,LUTJANUSCAMPECHANUS-170151107,0.435063
287,00:01:50.200000,551,1500,761,1536,830,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:50.400000,552,1514,754,1554,815,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:50.600000,553,1531,742,1572,810,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:50.800000,554,1548,737,1587,799,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:51.000000,555,1561,721,1604,788,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:51.200000,556,1507,739,1574,804,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:51.400000,557,1526,724,1602,792,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:51.600000,558,1552,702,1619,774,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:51.800000,559,1571,683,1653,760,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:52.000000,560,1597,667,1685,746,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:52.200000,561,1633,660,1701,732,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:52.400000,562,1653,635,1733,717,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
287,00:01:52.800000,564,1609,432,1676,522,0.613898,-1,LUTJANUSCAMPECHANUS-170151107,0.613898
296,00:01:50.800000,554,452,651,538,862,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:51.000000,555,445,621,558,887,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:51.200000,556,438,597,552,858,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:51.400000,557,437,564,557,833,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:51.600000,558,442,530,550,790,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:51.800000,559,448,506,540,761,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:52.000000,560,442,470,555,758,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:52.200000,561,444,433,558,746,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:52.400000,562,431,363,555,676,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:52.600000,563,451,366,561,669,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:52.800000,564,446,327,564,660,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:53.000000,565,444,237,594,638,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:53.200000,566,454,262,583,607,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:53.400000,567,474,249,577,569,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:53.600000,568,479,234,577,526,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:53.800000,569,483,205,583,516,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:54.000000,570,468,173,610,552,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
296,00:01:54.400000,572,476,128,608,528,0.558201,-1,LUTJANUSCAMPECHANUS-170151107,0.558201
466,00:03:08.400000,942,372,982,701,1142,0.205403,-1,SERRANIDAE,0.205403
466,00:03:08.600000,943,295,1003,732,1171,0.205403,-1,SERRANIDAE,0.205403
466,00:03:08.800000,944,270,1010,587,1162,0.205403,-1,SERRANIDAE,0.205403
466,00:03:09.000000,945,244,1044,538,1173,0.205403,-1,SERRANIDAE,0.205403
466,00:03:09.200000,946,218,1049,523,1178,0.205403,-1,SERRANIDAE,0.205403
466,00:03:09.600000,948,215,1065,459,1176,0.205403,-1,SERRANIDAE,0.205403
466,00:03:09.800000,949,231,1040,491,1174,0.205403,-1,SERRANIDAE,0.205403
466,00:03:10.000000,950,233,1038,509,1169,0.205403,-1,SERRANIDAE,0.205403
466,00:03:10.200000,951,242,1038,499,1169,0.205403,-1,SERRANIDAE,0.205403
