# 1: Detection or Track-id, 2: Video or Image Identifier, 3: Unique Frame Identifier, 4-7: Img-bbox(TL_x, TL_y, BR_x, BR_y), 8: Detection or Length Confidence, 9: Target Length (0 or -1 if invalid), 10-11+: Repeated Species, Confidence Pairs or Attributes
# metadata,exec_time: 0,exported_by: python_yolo_script,exported_at: Fri Mar  6 20:04:34 2026,,,,,,,,
1,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223422.982902_ir.tif,274,532.737,197.794,542.792,207.014,0.70724,0,hotspot,0.70724
2,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223445.117096_ir.tif,293,79.649,285.651,88.434,295.436,0.70702,0,hotspot,0.70702
3,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223750.225383_ir.tif,453,419.333,195.510,429.887,205.078,0.51575,0,hotspot,0.51575
4,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,306.174,32.966,315.078,43.851,0.55911,0,hotspot,0.55911
5,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,265.835,97.073,275.602,106.459,0.48311,0,hotspot,0.48311
6,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,268.138,101.425,277.906,110.753,0.48095,0,hotspot,0.48095
7,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223752.513555_ir.tif,455,301.229,448.480,310.556,459.179,0.65025,0,hotspot,0.65025
8,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_223752.513555_ir.tif,455,261.182,506.295,270.953,512.000,0.53973,0,hotspot,0.53973
9,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224010.258889_ir.tif,576,350.468,292.370,359.773,301.797,0.65647,0,hotspot,0.65647
10,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224311.286751_ir.tif,735,391.688,124.233,400.633,133.511,0.33556,0,hotspot,0.33556
11,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224447.544914_ir.tif,819,154.178,84.285,162.952,93.808,0.48548,0,hotspot,0.48548
12,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224447.544914_ir.tif,819,160.221,83.204,169.908,92.428,0.42773,0,hotspot,0.42773
13,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224448.679919_ir.tif,820,160.674,480.801,169.770,489.897,0.57116,0,hotspot,0.57116
14,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224448.679919_ir.tif,820,154.367,481.116,162.890,490.409,0.47697,0,hotspot,0.47697
15,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224705.922632_ir.tif,941,485.548,388.273,494.059,397.724,0.64748,0,hotspot,0.64748
16,\\akc0ss-n086\NMML_Polar_Imagery_4\Surveys_IceSeals_2025\fl223\images_30deg_N68RF\left_view\ice_seals_2025_fl223_L_20250513_224716.174115_ir.tif,950,223.561,140.675,233.185,151.322,0.70195,0,hotspot,0.70195
