# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Wed May 13 14:30:05 2026   by: write_object_track_set_viame_csv
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223422.982902_ir.tif,274,535.571,200.583,540.332,205.513,1,0,animal,1
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223445.117096_ir.tif,293,79.8212,286.009,87.6366,295.212,1,0,animal,1
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223750.225383_ir.tif,453,422.457,198.328,427.229,202.746,1,0,animal,1
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,308.851,35.8645,312.285,41.2428,1,0,animal,1
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,268.262,100.17,272.254,103.636,1,0,animal,1
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223751.369908_ir.tif,454,271.086,104.707,275.706,108.416,1,0,animal,1
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223752.513555_ir.tif,455,304.07,451.797,307.621,456.812,1,0,animal_duplicate,1
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_223752.513555_ir.tif,455,261.182,506.295,270.953,512,1,0,off_frame,1
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224010.258889_ir.tif,576,353.475,295.347,357.076,299.741,1,0,animal,1
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224311.286751_ir.tif,735,391.688,124.233,400.633,133.511,1,0,animal,1,(note) birds
11,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224447.544914_ir.tif,819,156.53,86.6801,160.553,91.8877,1,0,animal,1
12,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224447.544914_ir.tif,819,162.984,85.6341,167.754,89.5232,1,0,animal,1
13,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224448.679919_ir.tif,820,160.674,480.801,169.77,489.897,1,0,off_frame,1
14,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224448.679919_ir.tif,820,154.367,481.116,162.89,490.409,1,0,off_frame,1
15,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/left_view/ice_seals_2025_fl223_L_20250513_224705.922632_ir.tif,941,487.867,391.046,491.786,396.197,1,0,animal,1
