# 1: Detection or Track-id,  2: Video or Image Identifier,  3: Unique Frame Identifier,  4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),  8: Detection or Length Confidence,  9: Target Length (0 or -1 if invalid),  10-11+: Repeated Species, Confidence Pairs or Attributes
# Written on: Mon May 11 16:33:08 2026   by: write_object_track_set_viame_csv
1,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_223200.629457_ir.tif,152,113.584,237.697,120.763,245.39,1,0,animal,1
2,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224042.082423_ir.tif,604,81.512,397.118,90.526,408.022,1,0,false_positive,1
3,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224146.695516_ir.tif,661,448.906,243.351,460.487,251.364,1,0,animal,1
4,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224146.695516_ir.tif,661,448.058,241.928,461.591,252.436,1,0,extra_detection,1
5,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224234.621467_ir.tif,703,271.592,0.06,281.369,8.904,1,0,false_positive,1
6,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224235.767635_ir.tif,704,280.918,420.653,291.455,432.6,1,0,false_positive,1
7,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224604.755563_ir.tif,887,543.246,75.8915,550.536,82.9079,1,0,animal,1
8,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224605.892651_ir.tif,888,506.534,368.722,513.919,375.316,1,0,animal,1
9,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224605.892651_ir.tif,888,548.642,455.47,556.508,462.97,1,0,animal_duplicate,1
10,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224640.969923_ir.tif,919,187.761,51.4323,195.478,58.8059,1,0,animal,1
11,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224642.100353_ir.tif,920,190.394,479.043,198.883,488.655,1,0,off_frame,1,(note) animal likely (same as previous detection)
12,//akc0ss-n086/NMML_Polar_Imagery_4/Surveys_IceSeals_2025/fl223/images_30deg_N68RF/right_view/ice_seals_2025_fl223_R_20250513_224725.239752_ir.tif,958,615.565,138.044,626.628,149.642,1,0,animal,1
